Artist,Title,Lyrics
Billy Joel,She’s Got a Way,"She's got a way about her
I don't know what it is
But I know that I can't live without her
She's got a way of pleasing
I don't know what it is
But there doesn't have to be a reason anyway

She's got a smile that heals me
I don't know why it is
But I have to laugh when she reveals me
And she's got a way of talking
I don't know what it is
But it lifts me up
When we are walking anywhere

She comes to me when I'm feelin' down
Inspires me without a sound
She touches me and I get turned around

She's got a way of showing
How I make her feel
And I find the strength to keep on going
And she's got a light around her
And everywhere she goes
A million dreams of love
Surround her everywhere
She comes to me when I'm feelin' down
Inspires me without a sound
She touches me and I get turned around
Oh woo oh oh

She's got a smile that heals me
I don't know why it is
But I have to laugh when she reveals me
She's got a way about her
I don't know what it is
But I know that I can't live without her anywayEmbedShare URLCopyEmbedCopy"
Billy Joel,Don’t Ask Me Why,"All the waiters in your grand café
Leave their tables when you blink
Ohh, every dog must have his every day
Every drunk must have his drink

Don't wait for answers
Just take your chances
Don't ask me why

All your life you had to stand in line
Still you're standing on your feet
Ohh, all your choices made you change your mind
Now your calendar's complete

Don't wait for answers
Just take your chances
Don't ask me why

Mmm, you can say the human heart
Is only make-believe
And I am only fighting fire with fire
But you are still a victim
Of the accidents you leave
As sure as I'm a victim of desire
All the servants in your new hotel
Throw their roses at your feet
Fool them all but baby I can tell
You're no stranger to the street

Don't ask for favors
Don't talk to strangers
Don't ask me why

Yesterday you were an only child
Now your ghosts have gone away
You can kill them in the classic style
Now you, ""Parlez-vous français ?""

Don't look for answers
You took your chances
Don't ask me why

Don't ask me why3EmbedShare URLCopyEmbedCopy"
Billy Joel,Pressure,"You have to learn to pace yourself
Pressure
You're just like everybody else
Pressure

You've only had to run so far so good
But you will come to a place
Where the only thing you feel
Are loaded guns in your face
And you'll have to deal with
Pressure

You used to call me paranoid
Pressure
But even you can not avoid
Pressure

You turned the tap dance
Into your crusade
Now here you are with your faith
And your Peter Pan advice
You have no scars on your face
And you cannot handle
Pressure
All grown up and no place to go
Psych 1, Psych 2
What do you know?
All your life is Channel 13
Sesame Street
What does it mean?
I'll tell you what it means
Pressure, pressure

Don't ask for help, you're all alone
Pressure
You'll have to answer to your own
Pressure

I'm sure you'll have
Some cosmic rationale
But here you are in the ninth
Two men out and three men on
Nowhere to look but inside
Where we all respond to
Pressure

All your life is Time Magazine
I read it, too
What does it mean?
Pressure
I'm sure you'll have
Some cosmic rationale
Now here you are with your faith
And your Peter Pan advice
You have no scars on your face
And you cannot handle
Pressure

Pressure, pressure
One, two, three, four, pressure!2EmbedShare URLCopyEmbedCopy"
Billy Joel,A Matter of Trust,"One, two
One, two, three, four

Some love is just a lie of the heart
The cold remains of what began
With a passionate start
And they may not want it to end
But it will, it's just a question of when

I've lived long enough to have learned
The closer you get to the fire
The more you get burned
But that won't happen to us
Because it's always been
A matter of trust

I know you're an emotional girl
It took a lot for you to not
Lose your faith in this world
But I can't offer you proof
But you're gonna face
A moment of truth
It's hard when you're always afraid
You just recover
When another belief is betrayed
So break my heart if you must
It's a matter of trust

You can't go the distance
With too much resistance
I know you have doubts
But for God's sake don't shut me out

This time you've got nothing to lose
You can take it, you can leave it
Whatever you choose
I won't hold back anything
And I'll walk away a fool or a king

Some love is just a lie of the mind
It's make believe until it's only a matter of time
And some might have learned to adjust
But then it never was a matter of trust
I'm sure you're aware love
We've both had our share of
Believing too long
When the whole situation was wrong

Some love is just a lie of the soul
A constant battle
For the ultimate state of control
After you've heard lie upon lie
There can hardly be a question of why

Some love is just a lie of the heart
The cold remains of what began
With a passionate start
But that can't happen to us
Because it's always been
A matter of trust

It's a matter of trust
It's always been a matter of trust
It's a matter of trust
Cause it's always been
A matter of trust1EmbedShare URLCopyEmbedCopy"
Billy Joel,The Entertainer,"I am the entertainer
And I know just where I stand
Another serenader
And another long-haired band
Today, I am your champion
I may have won your hearts
But I know the game, you'll forget my name
And I won't be here in another year
If I don't stay on the charts
I am the entertainer
And I've had to pay my price
The things I did not know at first
I learned by doin' twice
Ah, but still they come to haunt me
Still they want their say
So I've learned to dance
With a hand in my pants
Let 'em rub my neck, and I write 'em a check
And they go their merry way

I am the entertainer, I dress to fit the style
I wear all kinds of sparkles
I  flash the crowd my smile
And when the night is over
And I stand without my clothes
Perspiration stains and varicose veins
My eyes look shot, my belly's got a pot
And there's a bit of coke on my nose
I am the entertainer
Been all around the world
I've played all kinds of palaces
And laid all kinds of girls
I can't remember faces
I don't remember names
Ah, but what the hell
You know it's just as well
Cause after a while and a thousand miles
It all becomes the same

I am the entertainer
I bring to you my songs
I'd like to spend a day or two
But I can't stay that long
No, I've got to meet expenses
I got to stay in line
Gotta get those fees to the agencies
And I'd love to stay but there's bills to pay
So I just don't have the time

I am the entertainer, I come to do my show
You've heard my latest record
It's been on the radio
Ah, it took me years to write it
They were the best years of my life
It was a beautiful song, but it ran too long
If you're gonna have a hit
You gotta make it fit
So they cut it down to 3:05
I am the entertainer
The idol of my age
I make all kinds of money
When I go on the stage
Ah, you've seen me in the papers
I've been in the magazines
But if I go cold, I won't get sold
I'll get put in the back in the discount rack
Like another can of beans

I am the entertainer
And I know just where I stand
Another serenader
And another long-haired band
Today, I am your champion
I may have won your hearts
But I know the game, you'll forget my name
And I won't be here in another year
If I don't stay on the charts4EmbedShare URLCopyEmbedCopy"
Billy Joel,Tell Her About it,"Listen boy don't want to see you
Let a good thing slip away
You know I don't like
Watching anybody make
The same mistakes that I made

She's a real nice girl
And she's always there for you
But a nice girl wouldn't tell you
What you should do

Listen boy I'm sure that you think
You got it all under control
You don't want somebody telling you
The way to stay in someone's soul

You're a big boy now
And you'll never let her go
But that's just the kind of thing
She ought to know

Tell her about it
Tell her everything you feel
Give her every reason to accept
That you're for real
Tell her about it
Tell her all your crazy dreams
Let her know you need her
Let her know how much she means
Listen boy it's not automatically
A certain guarantee
To insure yourself you've got to provide
Communication constantly

When you love someone
You're always insecure
And there's only one
Good way to reassure

Tell her about it
Let her know how much you care
When she can't be with you
Tell her you wish you were there
Tell her about it
Every day before you leave
Pay her some attention
Give her something to believe

Cause now and then she'll get to worrying
Just because you haven't spoken for so long
Though you may not have done anything
Will that be a consolation when she's gone?
Listen boy it's good information
From a man who's made mistakes
Just a word or two that she gets from you
Could be the difference that it makes

She's a trusting soul
She's put her trust in you
But a girl like that won't tell you
What you should do

Tell her about it
Tell her everything you feel
Give her every reason to accept
That you're for real
Tell her about it
Tell her all your crazy dreams
Let her know you need her
Let her know how much she means

Tell her about it
Tell her how you feel right now
Just tell her about it
The girl don't want to wait too long
You got to tell her about it
Tell her now that you won't go wrong
You got to tell her about it
Before it gets too late
You've got to tell her about it
You know the girl don't want to wait
You got to tell her about it
You got to tell, tell, tell her about it
Now, tell her about it4EmbedShare URLCopyEmbedCopy"
Billy Joel,Keeping the Faith,"If it seems like I've been lost
In let's remember
If you think I'm feeling older
And missing my younger days
Oh, then you should
Have known me much better
'Cause my past is something that never
Got in my way, oh no

Still I would not be here now
If I never had the hunger
And I'm not ashamed to say
The wild boys were my friends
Oh, 'cause I never felt the desire
Until their music set me on fire
And then I was saved, yeah

That's why I'm keeping the faith
Yeah, yeah, yeah, yeah
Keeping the faith

We wore matador boots
Only Flagg Brothers had them
With a Cuban heel
Iridescent socks with the same color shirt
And a tight pair of chinos
Oh, I put on my shark skin jacket
You know the kind with the velvet collar
And ditty-bop shades, oh yeah
I took a fresh pack of Luckies
And a mint called Sen-Sen
My old man's Trojans
And his Old Spice after shave
Oh, combed my hair in a pompadour
Like the rest of the Romeos wore
A permanent wave, Yeah

We were keeping the faith
Yeah, yeah, yeah, yeah
Keeping the faith

You can get just so much
From a good thing
You can linger too long in your dreams
Say goodbye to the oldies but goodies
Because the good ole days
Weren't always good
And tomorrow ain't as bad as it seems

Learned stickball as a formal education
Lost a lot of fights
But it taught me how to lose O.K
Oh, I heard about sex
But not enough
I found you could dance
And still look tough anyway
Oh, yes I did
I found out a man ain't just being macho
Ate an awful lot of late night drive-in food
Drank a lot of take home pay
I thought I was the Duke of Earl
When I made it with a red-haired girl
In a Chevrolet, oh yeah

We were keeping the faith
Yeah, yeah, yeah, yeah
Keeping the faith

You know the good ole days
Weren't always good
And tomorrow ain't as bad as it seems

I told you my reasons
For the whole revival
Now I'm going outside to have
An ice cold beer in the shade
Oh, I'm going to listen to my 45's
Ain't it wonderful to be alive
When the rock 'n' roll plays, yeah
When the memory stays, yeah
I'm keeping the faith
Yeah, yeah, yeah, yeah
Keeping the faith

We were keeping the faith
We were keeping the faith
I'm keeping the faith
Oh, you know I willEmbedShare URLCopyEmbedCopy"
Billy Joel,The Ballad of Billy the Kid,"From a town known
As Wheeling, West Virginia
Rode a boy with a six-gun in his hand
And his daring life of crime
Made him a legend in his time
East and west of the Rio Grande

Well, he started with a bank in Colorado
In the pocket of his vest, a Colt he hid
And his age and his size
Took the teller by surprise
And the word spread of Billy the Kid

Well, he never traveled heavy
Yes, he always rode alone
And he soon put many older guns to shame
And he never had a sweetheart
And he never had a home
But the cowboys and the ranchers
Knew his name

Well, he robbed his way
From Utah to Oklahoma
And the law just could not seem
To track him down
And it served his legend well
For the folks they loved to tell
'Bout when Billy the Kid came to town
2:42 - 3:39

Well, one cold day a posse captured Billy
And the judge said, ""String him up
For what he did.""
And the cowboys and their kin
Like the sea came pouring in
To watch the hanging of Billy the Kid

And he never traveled heavy
Yes he always rode alone
And he soon put many older guns to shame
And he never had a sweetheart
But he finally found a home
Underneath the boot hill grave
That bears his name

From a town known
As Oyster Bay, Long Island
Rode a boy with a six-pack in his hand
And his daring life of crime
Made him a legend in his time
East and west of the Rio Grande2EmbedShare URLCopyEmbedCopy"
Billy Joel,Say Goodbye to Hollywood,"Bobby's driving through the city tonight
Through the lights in a hot new rent-a-car
He joins the lovers in his heavy machine
It's a scene down on Sunset Boulevard

Say goodbye to Hollywood
Say goodbye, my baby
Say goodbye to Hollywood
Say goodbye, my baby

Johnny's taking care of things for awhile
And his style is so right for troubadours
They got him sitting with his back to the door
Now he won't be my fast gun anymore

Say goodbye to Hollywood
Say goodbye, my baby
Say goodbye to Hollywood
Say goodbye, my baby

Moving on is a chance that you take
Every time you try to stay together
Say a word out of line and you find
That the friends you had are gone forever
Forever
So many faces in and out of my life
Some will last, some will just be now and then
Life is a series of hello's and goodbye's
I'm afraid it's time for goodbye again

Say goodbye to Hollywood
Say goodbye, my baby
Say goodbye to Hollywood
Say goodbye, my baby

Moving on is a chance that you take
Every time you try to stay together
Say a word out of line and you find
That the friends you had are gone forever
Forever

So many faces in and out of my life
Some will last, some will just be now and then
Life is a series of hello's and goodbyes
I'm afraid it's time for goodbye again

Say goodbye to Hollywood
Say goodbye, my baby
Say goodbye to Hollywood
Say goodbye, my babyEmbedShare URLCopyEmbedCopy"
Billy Joel,Tomorrow Is Today,"I've been living for the moment
But I just can't have my way
And I'm afraid to go to sleep
Because tomorrow is today
People tell me life is sweeter
But I don't hear what they say
Nothing comes to change my life
So tomorrow is today

I don't care to know the hour
Because it's passing anyway
I don't have to see tomorrow
Because I saw it yesterday

So I listen for an answer
But the feeling seems to stay
And what's the use of always dreaming
If tomorrow is today
Still I'm waiting for the morning
But it feels so far away
And you don't need the love I'm giving
So tomorrow is today
Oh my, I'm going to the river
Gonna take a ride and the Lord will deliver me
Make my bed, I'm gonna lie in it
If you don't come, I'm sure gonna die in it
Too late, too much giving
I've seen a lot of life
And I'm damn sick of living it
I keep hoping that you will pass my way
And someday if your dreams are leaving you
I'll still believe in you

I don't care to know the hour
Because it's passing anyway
I don't have to see tomorrow
Because I saw it yesterday

Though I'm living and I'm singing
And although my hands still play
Soon enough it will all be over because
Tomorrow is today1EmbedShare URLCopyEmbedCopy"
Billy Joel,James,"James, we were always friends
From our childhood days
And we made our plans
And we had to go our sep'rate ways
I went on the road
You pursued an education
James, do you like your life?
Can you find release?
And will you ever change?
Will you ever write your masterpiece?
Are you still in school?
Living up to expectations?
James, you were so relied upon
Everybody knows how hard you tried
Hey - oh, look at what a job you've done
Carrying the weight of family pride
James, you've been well behaved
You've been working hard
But will you always stay
Someone else's dream of who you are?
Do what's good for you
Or you're not good for anybody
James
I went on the road
You pursued an education
James, how you gonna know for sure?
Everything was so well organized
Hey, oh now everything is so secure
And everybody else is satisfied
James, do you like your life?
Can you find release?
And will you ever change?
When will you write your masterpiece?
Do what's good for you
Or you're not good for anybody
JamesEmbedShare URLCopyEmbedCopy"
Billy Joel,All for Leyna,"She stood on the tracks, waving her arms
Leading me to that third rail, shock!
Quick as a wink, she changed her mind
She gave me a night, that's all it was
What will it take until I stop
Kidding myself, wasting my time?
Whoa

There's nothing else I can do
'cause I'm doing it all for Leyna
I don't want anyone new
'cause I'm living it all for Leyna
There's nothing in it for you
'cause I'm giving it all to Leyna

We laid on the beach watching the tide
She didn't tell me there were rocks
Under the waves, right off the shore
Washed up on the sand, barely alive
Wishing the undertow would stop
How can a man take anymore?
Whoa
There's nothing else I can do
'cause I'm doing it all for Leyna
I don't want anyone new
'cause I'm living it all for Leyna
There's nothing in it for you
'cause I'm giving it all to Leyna

I'm failing in school, losing my friends
Making my family lose their minds
I don't want to eat, I don't want to sleep
I only want Leyna one more time

Now, I'm in my room watching the tube
Telling myself she still may drop
Over to say she's changed her mind
So, I wait in the dark, listening for her
Instead of my old man saying
""Stop, kidding yourself, wasting your time!""

There's nothing else I can do
'cause I'm doing it all for Leyna
I don't want anyone new
'cause I'm living it all for Leyna
There's nothing in it for you
'cause I'm giving it all to Leyna
All for Leyna
All for Leyna
All for Leyna
All for Leyna
All for Leyna
All for Leyna4EmbedShare URLCopyEmbedCopy"
Billy Joel,You’re My Home,"When you look into my eyes
And you see the crazy gypsy in my soul
It always comes as a surprise
When I feel my withered roots begin to grow
Well I never had a place
That I could call my very own
That's all right, my love
'Cause you're my home

When you touch my weary head
And you tell me everything will be all right
You say, ""Use my body for your bed
And my love will keep you warm
Throughout the night""
Well I'll never be a stranger
And I'll never be alone
Wherever we're together, that's my home

Home can be the Pennsylvania Turnpike
Indiana's early morning dew
High up in the hills of California
Home is just another word for you
Well I never had a place
That I could call my very own
That's all right, my love
Cause you're my home
If I travel all my life
And I never get to stop and settle down
Long as I have you by my side
There's a roof above
And good walls all around
You're my castle, you're my cabin
And my instant pleasure dome
I need you in my house
Cause you're my home

You're my home2EmbedShare URLCopyEmbedCopy"
Billy Joel,Laura,"Laura calls me
In the middle of the night
Passes on her
Fateful information
Then these careless fingers
They get caught in her vise
Till they're bleeding
On my coffee table

Living alone isn't all that it's cracked up to be
Oh, oh, oh
I'm on her side, why does she push the poison on me?
Oh, oh, oh, oh

Laura has a very hard time
All her life has
Been one long disaster
Then she tells me
She suddenly believes
She's seen a very good sign
She'll be taking
Some aggressive action
I fight her wars while she's slamming her doors in my face
Oh, oh, oh
Failure to break was the only mistake that she made
Oh, oh, oh, oh

Here I am feeling like a fucking fool
Do I react the way exactly she intends me to?
Every time I think I'm off the hook
She makes me lose my cool
I'm her machine
And she can punch all the keys
She can push any button I was programmed through

Laura calls me
When she needs a good fix (ah)
All her questions
Will get sympathetic answers
I should be so immunized
To all of her tricks (ah)
She's surviving
On her second chances

Sometimes I feel like this godfather deal is all wrong
Oh, oh, oh
How can she hold an umbilical chord for so long?
Oh, oh, oh, oh
I've done everything I can
What else am I supposed to do?
I'm her machine
And she can punch all the keys
She can push any button I was programmed through

Laura (Laura) loves me (loves me)
Even if I don't care
That's my problem
That's her sacred absolution
If she had to
She would put herself in my chair (self in my chair, ah)
Even though I faced electrocution

She always says I'm the best friend that she's ever had
Oh, oh, oh
How do you hang up on someone who needs you that bad?
Oh, oh, oh, ohEmbedShare URLCopyEmbedCopy"
Billy Joel,Prelude / Angry Young Man,"There's a place in the world for the angry young man
With his working class ties and his radical plans
He refuses to bend, he refuses to crawl
And he's always at home with his back to the wall
And he's proud of his scars and the battles he's lost
And he struggles and bleeds as he hangs on his cross
And he likes to be known as the angry young man

Give a moment or two to the angry young man
With his foot in his mouth and his heart in his hand
He's been stabbed in the back, he's been misunderstood
It's a comfort to know his intentions are good
And he sits in a room with a lock on the door
With his maps and his medals laid out on the floor
And he likes to be known as the angry young man

I believe I've passed the age
Of consciousness and righteous rage
I found that just surviving was a noble fight
I once believed in causes too
I had my pointless point of view
And life went on no matter who was wrong or right
There's always a place for the angry young man
With his fist in the air and his head in the sand
And he's never been able to learn from mistakes
So he can't understand why his heart always breaks
And his honor is pure, and his courage as well
And he's fair, and he's true, and he's boring as hell
And he'll go to the grave as an angry old man


Yes, there's always a place for the angry young man
With his working class ties and his radical plans
He refuses to bend, he refuses to crawl
He's always at home with his back to the wall
And he's proud of his scars and the battles he's lost
And he struggles and bleeds as he hangs on his cross
And he likes to be known as the angry young man
EmbedShare URLCopyEmbedCopy"
Billy Joel,Stiletto,"She cuts you once, she cuts you twice
But still you believe
The wound is so fresh
You can taste the blood
But you don't have strength to leave
You've been bought, you've been sold
You've been locked outside the door
But you stand there pleading
With your insides bleeding
Cause you deep down want some more

When she says she wants forgiveness
It's such a clever masquerade
She's so good with her stiletto
You don't even see the blade
You don't even see the blade

She cuts you hard, she cuts you deep
She's got so much skill
She's so fascinating
That you're still there waiting
When she comes back for the kill
You've been slashed in the face
You've been left there to bleed
You want to run away
But you know you're gonna stay
Cause she gives you what you need
Then she says she needs affection
While she searches for the vein
She's so good with her stiletto
You don't really mind the pain
You don't mind the pain
Oh

She cuts you out, she cuts you down
She carves up your life
But you won't do nothing
As she keeps on cutting
Cause you know you love the knife
You've been bought, you've been sold
You've been locked outside the door
But you stand there pleading
With your insides bleeding
'Cause you deep down want some more

Then she says she needs affection
While she searches for the vein
She's so good with her stiletto
You don't really mind the pain
You don't mind the painEmbedShare URLCopyEmbedCopy"
Billy Joel,I Go to Extremes,"Call me a joker, call me a fool
Right at this moment I'm totally cool
Clear as a crystal, sharp as a knife
I feel like I'm in the prime of my life
Sometimes it feels like I'm going too fast
I don't know how long
This feeling will last
Maybe it's only tonight

Darling, I don't know
Why I go to extremes
Too high or too low
There ain't no in-betweens
And if I stand or I fall
It's all or nothing at all
Darling, I don't know
Why I go to extremes

Sometimes I'm tired, sometimes I'm shot
Sometimes I don't know
How much more I've got
Maybe I'm headed over the hill
Maybe I've set myself up for the kill
Tell me how much
Do you think you can take
Until the heart in you
Is starting to break?
Sometimes it feels like it will
Darling, I don't know
Why I go to extremes
Too high or too low
There ain't no in-betweens
You can be sure when I'm gone
I won't be out there too long
Darling, I don't know
Why I go to extremes

Out of the darkness, into the light
Leaving the scene of the crime
Either I'm wrong
Or I'm perfectly right every time
Sometimes I lie awake, night after night
Coming apart at the seams
Eager to please, ready to fight
Why do I go to extremes?

And if I stand or I fall
It's all or nothing at all
Darling, I don't know
Why I go to extremes
Oh, I don't know
Why I go to extremes
Too high or too low
There ain't no in-betweens
You can be sure when I'm gone
I won't be out there too long
Darling, I don't know
Why I go to extremes

I don't know why
I don't know why
I don't know why
I don't know why
I don't know why
I don't know why
Out of the dark, into the lights
Either I'm wrong
Or I'm perfectly right
I don't know why1EmbedShare URLCopyEmbedCopy"
Billy Joel,Everybody Loves You Now,"Baby all the lights are turned on you
Now you're in the center of the stage
Ev'rything revolves on what you do
Ah, you are in your prime
You've come of age

You can always have your way somehow
Because everybody loves you now

You can walk away from your mistakes
You can turn your back on what you do
Just a little smile is all it takes
And you can have your cake and eat it too

Loneliness will get to you somehow
But everybody loves you now

Ah, they all want your white body
And they await your reply
Ah, but between you and me
And the Staten Island ferry
So do I
All the people want to know your name
Soon there will be lines outside your door
Feelings do not matter in your game
Because nothing's gonna touch you anymore

So your life is only living anyhow
And everybody loves you now

Close your eyes when you don't want to see
And stay at home when you don't want to go
Only speak to those who will agree
Yeah, and close your mind
When you don't want to know

You have lost your innocence somehow
But everybody loves you now

Ah, you know that nothing lasts forever
And it's all been done before
Ah, but you ain't got the time
To go to Cold Spring Harbor no more
See how all the people gather around
Hey, isn't it a thrill to see them crawl
Keep your eyes ahead and don't look down
Yeah, and lock yourself
Inside your sacred wall

This is what you wanted, ain't you proud
Because everybody loves you nowEmbedShare URLCopyEmbedCopy"
Billy Joel,C’Etait Toi (You Were the One),"Here I am again in this smoky place
With my brandy eyes
I'm talking to myself
You were the one, you were the one
Here I go again looking for your face
And I realize
That I should look for someone else
But you were the one, you were the one

I'm looking for comfort
That I can take from someone else
But after all, I know there is no one
That can save me from myself
You were the only one

Me revoici
Dans ce bar fumé
Avec mes yeux ivres
Je me parle à moi même
Ooh, c'était toi, ooh c'était toi
Me revoici
Cherchant ton visage
Et je realisé
Que je devrais chercher une autre
Ooh, c'était toi, you were the one
Je recherche l'affection
Qu'une autre pourrait me donner
Mais après tout
Je sais qu'il n'y a personne
Personne qui puisse me sauver
Tu étais la seule
I'm looking for comfort
That I can take from someone else
But after all, I know there is no one
That can save me, save me from myself
You were the only oneEmbedShare URLCopyEmbedCopy"
Billy Joel,Get It Right The First Time,"I don't believe in first impressions
For just this once I hope
That looks don't deceive
I ain't got time for true confessions

Got to make the move right now
Got to meet that girl somehow

Get it right the first time
That's the main thing
I can't afford to let it pass
You get it right the next time
That's not the same thing
Gonna make the first time last

I'm not much good at conversation
I never was much good
At coming on real strong
But if all it takes is inspiration

Then I might have just what it takes
If I don't make no bad mistakes
And I
Get it right the first time
'Cause that's the main thing
I can't afford to let it pass
You get it right the next time
That's not the same thing
Gonna have to make the first time last

I might find the courage
Yeah, I might get up the nerve
But if my timing ain't just right
What purpose would that serve?
I don't know, I don't know, I don't know
How to say those first few words
If I want to put myself in touch
The first few moments mean so much

So I suppose it's now or never
Before that woman
Walks right out of my life
Just let me pull myself together

I've got to give it one good try
Gotta take my chance tonight
Get it right the first time
That's the main thing
I can't afford to let it pass
You get it right the next time
That's not the same thing
Gonna have to make the first time lastEmbedShare URLCopyEmbedCopy"
Ed Sheeran,Shape of You,"The club isn't the best place to find a lover
So the bar is where I go
Me and my friends at the table doing shots
Drinking fast and then we talk slow
And you come over and start up a conversation with just me
And trust me I'll give it a chance now
Take my hand, stop, put Van the Man on the jukebox
And then we start to dance, and now I'm singing like

Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say, boy, let's not talk too much
Grab on my waist and put that body on me
Come on now, follow my lead
Come, come on now, follow my lead

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
And last night you were in my room
And now my bed sheets smell like you
Every day discovering something brand new
I'm in love with your body
Oh—I—oh—I—oh—I—oh—I
I'm in love with your body
Oh—I—oh—I—oh—I—oh—I
I'm in love with your body
Oh—I—oh—I—oh—I—oh—I
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you
One week in we let the story begin
We're going out on our first date
You and me are thrifty, so go all you can eat
Fill up your bag and I fill up a plate
We talk for hours and hours about the sweet and the sour
And how your family is doing okay
Leave and get in a taxi, then kiss in the backseat
Tell the driver make the radio play, and I'm singing like

Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say, boy, let's not talk too much
Grab on my waist and put that body on me
Come on now, follow my lead
Come, come on now, follow my lead

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
And last night you were in my room
And now my bed sheets smell like you
Every day discovering something brand new
I'm in love with your body
Oh—I—oh—I—oh—I—oh—I
I'm in love with your body
Oh—I—oh—I—oh—I—oh—I
I'm in love with your body
Oh—I—oh—I—oh—I—oh—I
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
Last night you were in my room
And now my bed sheets smell like you
Every day discovering something brand new
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you398EmbedShare URLCopyEmbedCopy"
Ed Sheeran,Perfect,"I found a love for me
Oh darling, just dive right in and follow my lead
Well, I found a girl, beautiful and sweet
Oh, I never knew you were the someone waiting for me
'Cause we were just kids when we fell in love
Not knowing what it was
I will not give you up this time
But darling, just kiss me slow, your heart is all I own
And in your eyes, you're holding mine

Baby, I'm dancing in the dark with you between my arms
Barefoot on the grass, listening to our favourite song
When you said you looked a mess, I whispered underneath my breath
But you heard it, darling, you look perfect tonight

Well I found a woman, stronger than anyone I know
She shares my dreams, I hope that someday I'll share her home
I found a love, to carry more than just my secrets
To carry love, to carry children of our own
We are still kids, but we're so in love
Fighting against all odds
I know we'll be alright this time
Darling, just hold my hand
Be my girl, I'll be your man
I see my future in your eyes
Baby, I'm dancing in the dark, with you between my arms
Barefoot on the grass, listening to our favorite song
When I saw you in that dress, looking so beautiful
I don't deserve this, darling, you look perfect tonight


Baby, I'm dancing in the dark, with you between my arms
Barefoot on the grass, listening to our favorite song
I have faith in what I see
Now I know I have met an angel in person
And she looks perfect
I don't deserve this
You look perfect tonight241EmbedShare URLCopyEmbedCopy"
Ed Sheeran,Castle on the Hill,"When I was six years old I broke my leg
I was running from my brother and his friends
And tasted the sweet perfume of the mountain grass I rolled down
I was younger then, take me back to when I

Found my heart and broke it here
Made friends and lost them through the years
And I've not seen the roaring fields in so long, I know I've grown
But I can't wait to go home

I'm on my way
Driving at 90 down those country lanes
Singing to ""Tiny Dancer""
And I miss the way you make me feel, and it's real
We watched the sunset over the castle on the hill

Fifteen years old and smoking hand-rolled cigarettes
Running from the law through the backfields and getting drunk with my friends
Had my first kiss on a Friday night, I don't reckon that I did it right
But I was younger then, take me back to when

We found weekend jobs, when we got paid
We'd buy cheap spirits and drink them straight
Me and my friends have not thrown up in so long, oh how we've grown
But I can't wait to go home
I'm on my way
Driving at 90 down those country lanes
Singing to ""Tiny Dancer""
And I miss the way you make me feel, and it's real
We watched the sunset over the castle on the hill
Over the castle on the hill
Over the castle on the hill

One friend left to sell clothes
One works down by the coast
One had two kids but lives alone
One's brother overdosed
One's already on his second wife
One's just barely getting by
But these people raised me
And I can't wait to go home

And I'm on my way, I still remember
These old country lanes
When we did not know the answers
And I miss the way you make me feel, it's real
We watched the sunset over the castle on the hill
Over the castle on the hill
Over the castle on the hill83EmbedShare URLCopyEmbedCopy"
Ed Sheeran,Happier,"Walking down 29th and park
I saw you in another's arm
Only a month we've been apart
You look happier
Saw you walk inside a bar
He said something to make you laugh
I saw that both your smiles were twice as wide as ours
Yeah, you look happier, you do

Ain't nobody hurt you like I hurt you
But ain't nobody love you like I do
Promise that I will not take it personal, baby
If you're moving on with someone new

'Cause baby you look happier, you do
My friends told me one day I'll feel it too
And until then I'll smile to hide the truth
But I know I was happier with you

Sat in the corner of the room
Everything's reminding me of you
Nursing an empty bottle and telling myself
You're happier, aren't you?
Oh, ain't nobody hurt you like I hurt you
But ain't nobody need you like I do
I know that there's others that deserve you
But my darling, I am still in love with you

But I guess you look happier, you do
My friends told me one day I’ll feel it too
I could try to smile to hide the truth
But I know I was happier with you

‘Cause baby you look happier, you do
I knew one day you’d fall for someone new
But if he breaks your heart like lovers do
Just know that I’ll be waiting here for you102EmbedShare URLCopyEmbedCopy"
